modality,roi,label,n_subjects,mean_w4,mean_w5,mean_w4_minus_w5,sem_w4_minus_w5,n_w4_gt_w5,n_w4_lt_w5,positive_pct,t_stat,p_ttest,wilcoxon_stat,p_wilcoxon,effect_size_dz,p_fdr_ttest,p_fdr_wilcoxon
scalp_sens,late_roi,"Scalp
late ROI",11,2.0794715942691404,0.6348150613904537,1.4446565328786867,0.930800986424131,8,3,72.72727272727273,1.5520573720367876,0.15169614688669072,15.0,0.123046875,0.4679629051046422,0.23470806762289315,0.1845703125
scalp_sens,face_roi,"Scalp
face ROI",11,2.1957941673593573,0.6432849659766776,1.5525092013826798,1.245929331601392,6,5,54.54545454545455,1.2460652157432084,0.24114179763165983,22.0,0.365234375,0.37570279863031586,0.28937015715799175,0.365234375
scalp_sens,central_roi,"Scalp
central ROI",11,1.0679202057906856,0.4902202614520271,0.5776999443386582,0.5580657044002914,8,3,72.72727272727273,1.0351826671726159,0.3249681164636996,20.0,0.2783203125,0.312119317862811,0.3249681164636996,0.333984375
ear_strict_sens,ear_strict,"Ear
strict",11,1.8036759277533159,0.39287380859365584,1.41080211915966,0.550786234834311,8,3,72.72727272727273,2.5614331476240713,0.02830351681835806,10.0,0.0419921875,0.7723011523861869,0.08491055045507417,0.083984375
ear_full_sens,ear_right,"Ear
right",11,1.6593980904201522,0.22306872218961776,1.436329368230534,0.4572402396258253,8,3,72.72727272727273,3.141301319861807,0.010486936428729311,7.0,0.0185546875,0.9471379846754371,0.06292161857237587,0.083984375
ear_full_sens,ear_full,"Ear
full",11,0.6354836749403122,0.4742319391523766,0.1612517357879357,0.10524082300474918,9,2,81.81818181818181,1.532216597932334,0.15647204508192877,9.0,0.0322265625,0.46198068662694464,0.23470806762289315,0.083984375
