subject_id,modality,n_epochs,ptp_median,ptp_p90,ptp_p95,ptp_p99,ptp_max,reject_gt_50uv,reject_pct_gt_50uv,reject_gt_75uv,reject_pct_gt_75uv,reject_gt_100uv,reject_pct_gt_100uv,reject_gt_150uv,reject_pct_gt_150uv,reject_gt_200uv,reject_pct_gt_200uv,reject_gt_300uv,reject_pct_gt_300uv,reject_gt_500uv,reject_pct_gt_500uv
200,scalp_main,400,58.09074785333496,171.04092116816318,196.2700745044657,228.45997690319396,263.38526333501613,287,71.75,111,27.750000000000004,90,22.5,63,15.75,17,4.25,0,0.0,0,0.0
200,ear_full_main,400,73.44610281456642,189.97862032035013,213.93985785985373,260.4821108223458,377.804639046135,360,90.0,195,48.75,133,33.25,85,21.25,30,7.5,2,0.5,0,0.0
200,ear_strict_main,400,62.85988784129404,116.62870610554083,140.50530394525805,217.3897408511436,377.804639046135,336,84.0,123,30.75,62,15.5,18,4.5,5,1.25,1,0.25,0,0.0
201,scalp_main,400,51.95674486882183,117.09736010435763,159.9072755962729,229.74648989994574,478.8253587910822,222,55.50000000000001,82,20.5,50,12.5,26,6.5,9,2.25,1,0.25,0,0.0
201,ear_full_main,400,157.98910360111586,610.8432256577692,1044.9398773617788,2732.5066023810805,5749.966321482731,399,99.75,369,92.25,312,78.0,215,53.75,151,37.75,91,22.75,51,12.75
201,ear_strict_main,400,157.47431160241558,610.8432256577692,1044.9398773617788,2732.5066023810805,5749.966321482731,398,99.5,364,91.0,311,77.75,211,52.75,149,37.25,90,22.5,51,12.75
202,scalp_main,400,238.09118739887754,302.0242352374621,323.83949678238383,372.4474490596605,437.4530228955373,400,100.0,400,100.0,400,100.0,396,99.0,330,82.5,51,12.75,0,0.0
202,ear_full_main,400,93.90382976291562,324.4113383809404,496.8815343454925,1866.8137133667458,2794.2215929452686,340,85.0,235,58.75,189,47.25,138,34.5,95,23.75,41,10.25,20,5.0
202,ear_strict_main,400,63.109196840664595,278.93248649576316,479.91422878833237,1853.3052505208514,2794.2215929452686,263,65.75,157,39.25,110,27.500000000000004,77,19.25,54,13.5,37,9.25,19,4.75
203,scalp_main,400,79.90302579826425,129.90907927201113,152.77293981428534,238.6809999573884,243.75631938457445,398,99.5,245,61.25000000000001,96,24.0,25,6.25,5,1.25,0,0.0,0,0.0
203,ear_full_main,400,74.685195811438,107.18872952937447,130.69079067003716,290.0944651875808,781.6729900264654,395,98.75,196,49.0,50,12.5,12,3.0,7,1.7500000000000002,4,1.0,3,0.75
203,ear_strict_main,400,70.2991508225117,92.98305696524035,112.91498351491677,290.0944651875808,781.6729900264654,392,98.0,157,39.25,30,7.5,11,2.75,7,1.7500000000000002,4,1.0,2,0.5
205,scalp_main,400,4358.014516997071,5525.3569652498145,6253.617673811132,7317.187373525874,26291.490749620367,400,100.0,392,98.0,387,96.75,378,94.5,372,93.0,369,92.25,364,91.0
205,ear_full_main,400,54.81340986160944,91.56815396881267,106.64883073073756,246.80369497688025,705.990222217546,261,65.25,83,20.75,29,7.249999999999999,10,2.5,5,1.25,2,0.5,1,0.25
205,ear_strict_main,400,47.80663487929985,74.53578741181525,94.91570716036075,246.80369497688025,705.990222217546,170,42.5,40,10.0,16,4.0,8,2.0,5,1.25,2,0.5,1,0.25
206,scalp_main,400,964.6740455644322,1168.1432482507219,1254.113456033668,1415.8546303453106,1506.4684121965329,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0
206,ear_full_main,400,56.9056268563271,160.18727159556602,184.1822714349844,243.14042130612933,389.7743830159143,264,66.0,145,36.25,121,30.25,61,15.25,14,3.5000000000000004,2,0.5,0,0.0
206,ear_strict_main,400,45.79067388438966,87.75921817842928,137.34086365324754,229.86337689965052,389.7743830159143,154,38.5,51,12.75,28,7.000000000000001,18,4.5,8,2.0,2,0.5,0,0.0
208,scalp_main,400,100.79707874551184,254.99347335620337,261.32614994021486,280.7769695711063,292.4761912615686,395,98.75,279,69.75,202,50.5,157,39.25,140,35.0,0,0.0,0,0.0
208,ear_full_main,400,92.99510476520993,275.4054529046681,283.9649312830574,398.5830671536744,1493.1394522301853,389,97.25,253,63.24999999999999,195,48.75,166,41.5,151,37.75,11,2.75,2,0.5
208,ear_strict_main,400,68.85490982615806,99.18203054958953,141.48526204278372,260.9856854610739,1493.1394522301853,373,93.25,144,36.0,40,10.0,18,4.5,8,2.0,4,1.0,1,0.25
209,scalp_main,400,1292.2548447373701,2189.5884360718214,2637.0848797419985,3768.443478485593,8500.68631453783,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0,399,99.75,386,96.5
209,ear_full_main,400,42.746423892075654,91.18513996977971,200.3488903941675,260.4098526225282,398.89130299289627,100,25.0,48,12.0,39,9.75,28,7.000000000000001,21,5.25,2,0.5,0,0.0
209,ear_strict_main,400,38.50812940277632,53.74265386431286,88.8384768757043,217.78695777014065,398.89130299289627,51,12.75,23,5.75,19,4.75,11,2.75,6,1.5,2,0.5,0,0.0
211,scalp_main,400,99.40533574902565,132.76364046480404,145.75515883200356,182.5734972990462,253.83238335913484,400,100.0,384,96.0,196,49.0,14,3.5000000000000004,2,0.5,0,0.0,0,0.0
211,ear_full_main,400,56.61401485706335,114.81710011011471,171.12645236794708,343.0110951339802,439.40539089060803,285,71.25,82,20.5,48,12.0,26,6.5,17,4.25,6,1.5,0,0.0
211,ear_strict_main,400,48.786714876825386,75.73693480878266,101.08160214479345,171.0264701281996,327.0851351741894,186,46.5,43,10.75,22,5.5,6,1.5,3,0.75,2,0.5,0,0.0
212,scalp_main,400,1345.9021726019237,1851.7944401246687,1970.5839150247537,2231.7672206053294,3118.7455921259243,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0
212,ear_full_main,400,48.90100987653682,147.66865282717254,258.07685074841845,388.78985813839944,793.1594699974648,185,46.25,68,17.0,52,13.0,39,9.75,32,8.0,14,3.5000000000000004,2,0.5
212,ear_strict_main,400,45.25768188573534,76.07295680793425,121.02168469444923,369.28579402764296,793.1594699974648,143,35.75,41,10.25,28,7.000000000000001,13,3.25,9,2.25,6,1.5,2,0.5
213,scalp_main,400,962.0324615711015,1315.9829342774626,1532.4912185308312,1781.7032451016314,3527.91925509286,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0
213,ear_full_main,400,1679.799867758913,9227.439375102973,21491.986480137908,278771.7097396887,1198165.3739989232,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0
213,ear_strict_main,400,1634.0883958743234,3722.2041250023412,6280.318998543702,38229.811182838974,294854.0490475651,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0
214,scalp_main,400,104.0920267371929,231.36222861586657,269.0067621208232,318.61535319557356,364.587519079505,397,99.25,297,74.25,213,53.25,120,30.0,70,17.5,12,3.0,0,0.0
214,ear_full_main,400,59.3454268501672,168.1774941753927,193.0110995126938,221.97592803956465,273.6482793091045,322,80.5,104,26.0,70,17.5,55,13.750000000000002,12,3.0,0,0.0,0,0.0
214,ear_strict_main,400,52.7921628667126,68.52225682699795,77.63131270399975,106.47094561118666,241.39919139052563,237,59.25,25,6.25,8,2.0,1,0.25,1,0.25,0,0.0,0,0.0
215,scalp_main,400,63.50548683966406,155.87799960644594,249.08057517113164,367.0972453931684,487.39380676944893,352,88.0,131,32.75,75,18.75,46,11.5,29,7.249999999999999,18,4.5,0,0.0
215,ear_full_main,400,11760.366434307929,63777.02732057848,64060.75590866214,64261.99038111407,64401.56553340168,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0
215,ear_strict_main,400,11756.52009831764,63777.02732057848,64060.75590866214,64261.99038111407,64401.56553340168,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0,400,100.0
